"filename", "language", "YAML", "Docker", "Python", "comment", "blank", "total"
"c:\Users\Asus\Documents\Digi_API\docker\Dockerfile", "Docker", 0, 40, 0, 12, 18, 70
"c:\Users\Asus\Documents\Digi_API\docker\docker-compose.yml", "YAML", 46, 0, 0, 0, 4, 50
"c:\Users\Asus\Documents\Digi_API\tests\__init__.py", "Python", 0, 0, 0, -1, -1, -2
"c:\Users\Asus\Documents\Digi_API\tests\conftest.py", "Python", 0, 0, -49, -19, -24, -92
"c:\Users\Asus\Documents\Digi_API\tests\integration\__init__.py", "Python", 0, 0, 0, -1, -1, -2
"c:\Users\Asus\Documents\Digi_API\tests\mock_provider\__init__.py", "Python", 0, 0, 0, -1, -1, -2
"c:\Users\Asus\Documents\Digi_API\tests\unit\__init__.py", "Python", 0, 0, 0, -1, -1, -2
"c:\Users\Asus\Documents\Digi_API\tests\unit\test_deps.py", "Python", 0, 0, -130, -17, -48, -195
"c:\Users\Asus\Documents\Digi_API\tests\unit\test_health.py", "Python", 0, 0, -15, -7, -7, -29
"c:\Users\Asus\Documents\Digi_API\tests\unit\test_persistence.py", "Python", 0, 0, -226, -35, -54, -315
"c:\Users\Asus\Documents\Digi_API\tests\unit\test_provider.py", "Python", 0, 0, -148, -25, -50, -223
"c:\Users\Asus\Documents\Digi_API\tests\unit\test_rate_limit.py", "Python", 0, 0, -89, -14, -23, -126
"c:\Users\Asus\Documents\Digi_API\tests\unit\test_security.py", "Python", 0, 0, -41, -13, -22, -76
"c:\Users\Asus\Documents\Digi_API\tests\unit\test_services.py", "Python", 0, 0, -221, -46, -69, -336
"c:\Users\Asus\Documents\Digi_API\tests\unit\test_ui.py", "Python", 0, 0, -132, -12, -34, -178
"c:\Users\Asus\Documents\Digi_API\tests\unit\test_verification.py", "Python", 0, 0, -767, -82, -175, -1024
"Total", "-", 46, 40, -1818, -262, -488, -2482
