"filename", "language", "Python", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Users\Asus\Documents\Digi_API\app\__init__.py", "Python", 1, 0, 0, 1, 2, 4
"c:\Users\Asus\Documents\Digi_API\app\api\__init__.py", "Python", 0, 0, 0, 1, 1, 2
"c:\Users\Asus\Documents\Digi_API\app\api\deps.py", "Python", 84, 0, 0, 22, 23, 129
"c:\Users\Asus\Documents\Digi_API\app\api\v1\__init__.py", "Python", 0, 0, 0, 1, 1, 2
"c:\Users\Asus\Documents\Digi_API\app\api\v1\callback.py", "Python", 125, 0, 0, 9, 18, 152
"c:\Users\Asus\Documents\Digi_API\app\api\v1\health.py", "Python", 66, 0, 0, 26, 33, 125
"c:\Users\Asus\Documents\Digi_API\app\api\v1\router.py", "Python", 17, 0, 0, 11, 8, 36
"c:\Users\Asus\Documents\Digi_API\app\api\v1\verification.py", "Python", 84, 0, 0, 8, 15, 107
"c:\Users\Asus\Documents\Digi_API\app\config.py", "Python", 144, 0, 0, 44, 55, 243
"c:\Users\Asus\Documents\Digi_API\app\errors\__init__.py", "Python", 0, 0, 0, 4, 1, 5
"c:\Users\Asus\Documents\Digi_API\app\errors\codes.py", "Python", 41, 0, 0, 14, 12, 67
"c:\Users\Asus\Documents\Digi_API\app\errors\exceptions.py", "Python", 83, 0, 0, 25, 50, 158
"c:\Users\Asus\Documents\Digi_API\app\errors\handlers.py", "Python", 81, 0, 0, 21, 23, 125
"c:\Users\Asus\Documents\Digi_API\app\infrastructure\__init__.py", "Python", 12, 0, 0, 4, 5, 21
"c:\Users\Asus\Documents\Digi_API\app\infrastructure\database.py", "Python", 27, 0, 0, 42, 10, 79
"c:\Users\Asus\Documents\Digi_API\app\infrastructure\digilocker\__init__.py", "Python", 10, 0, 0, 4, 3, 17
"c:\Users\Asus\Documents\Digi_API\app\infrastructure\digilocker\client.py", "Python", 14, 0, 0, 38, 10, 62
"c:\Users\Asus\Documents\Digi_API\app\infrastructure\digilocker\interface.py", "Python", 13, 0, 0, 60, 8, 81
"c:\Users\Asus\Documents\Digi_API\app\infrastructure\digilocker\mock.py", "Python", 150, 0, 0, 38, 30, 218
"c:\Users\Asus\Documents\Digi_API\app\infrastructure\digilocker\stub.py", "Python", 54, 0, 0, 41, 14, 109
"c:\Users\Asus\Documents\Digi_API\app\infrastructure\http_client.py", "Python", 29, 0, 0, 27, 15, 71
"c:\Users\Asus\Documents\Digi_API\app\infrastructure\redis.py", "Python", 36, 0, 0, 37, 18, 91
"c:\Users\Asus\Documents\Digi_API\app\main.py", "Python", 91, 0, 0, 37, 31, 159
"c:\Users\Asus\Documents\Digi_API\app\middleware\__init__.py", "Python", 0, 0, 0, 1, 1, 2
"c:\Users\Asus\Documents\Digi_API\app\middleware\auth.py", "Python", 0, 0, 0, 7, 1, 8
"c:\Users\Asus\Documents\Digi_API\app\middleware\logging.py", "Python", 31, 0, 0, 12, 12, 55
"c:\Users\Asus\Documents\Digi_API\app\middleware\rate_limit.py", "Python", 0, 0, 0, 7, 1, 8
"c:\Users\Asus\Documents\Digi_API\app\middleware\request_id.py", "Python", 18, 0, 0, 16, 9, 43
"c:\Users\Asus\Documents\Digi_API\app\models\__init__.py", "Python", 5, 0, 0, 1, 4, 10
"c:\Users\Asus\Documents\Digi_API\app\models\audit_event.py", "Python", 74, 0, 0, 5, 15, 94
"c:\Users\Asus\Documents\Digi_API\app\models\base.py", "Python", 15, 0, 0, 3, 9, 27
"c:\Users\Asus\Documents\Digi_API\app\models\verification.py", "Python", 70, 0, 0, 5, 17, 92
"c:\Users\Asus\Documents\Digi_API\app\models\verification_result.py", "Python", 49, 0, 0, 4, 12, 65
"c:\Users\Asus\Documents\Digi_API\app\observability\__init__.py", "Python", 0, 0, 0, 4, 1, 5
"c:\Users\Asus\Documents\Digi_API\app\observability\logging.py", "Python", 76, 0, 0, 34, 20, 130
"c:\Users\Asus\Documents\Digi_API\app\observability\metrics.py", "Python", 78, 0, 0, 26, 21, 125
"c:\Users\Asus\Documents\Digi_API\app\observability\tracing.py", "Python", 29, 0, 0, 35, 14, 78
"c:\Users\Asus\Documents\Digi_API\app\repositories\__init__.py", "Python", 4, 0, 0, 1, 3, 8
"c:\Users\Asus\Documents\Digi_API\app\repositories\audit.py", "Python", 30, 0, 0, 19, 8, 57
"c:\Users\Asus\Documents\Digi_API\app\repositories\verification.py", "Python", 24, 0, 0, 31, 10, 65
"c:\Users\Asus\Documents\Digi_API\app\repositories\verification_result.py", "Python", 43, 0, 0, 35, 10, 88
"c:\Users\Asus\Documents\Digi_API\app\schemas\__init__.py", "Python", 0, 0, 0, 1, 1, 2
"c:\Users\Asus\Documents\Digi_API\app\schemas\callback.py", "Python", 6, 0, 0, 2, 6, 14
"c:\Users\Asus\Documents\Digi_API\app\schemas\errors.py", "Python", 9, 0, 0, 3, 8, 20
"c:\Users\Asus\Documents\Digi_API\app\schemas\health.py", "Python", 6, 0, 0, 3, 8, 17
"c:\Users\Asus\Documents\Digi_API\app\schemas\provider.py", "Python", 16, 0, 0, 10, 9, 35
"c:\Users\Asus\Documents\Digi_API\app\schemas\verification.py", "Python", 15, 0, 0, 4, 13, 32
"c:\Users\Asus\Documents\Digi_API\app\security\__init__.py", "Python", 0, 0, 0, 1, 1, 2
"c:\Users\Asus\Documents\Digi_API\app\security\hashing.py", "Python", 16, 0, 0, 41, 8, 65
"c:\Users\Asus\Documents\Digi_API\app\security\jwt_utils.py", "Python", 0, 0, 0, 10, 1, 11
"c:\Users\Asus\Documents\Digi_API\app\security\pkce.py", "Python", 10, 0, 0, 22, 8, 40
"c:\Users\Asus\Documents\Digi_API\app\security\rate_limit.py", "Python", 62, 0, 0, 27, 17, 106
"c:\Users\Asus\Documents\Digi_API\app\security\state.py", "Python", 6, 0, 0, 14, 8, 28
"c:\Users\Asus\Documents\Digi_API\app\services\__init__.py", "Python", 0, 0, 0, 1, 1, 2
"c:\Users\Asus\Documents\Digi_API\app\services\jwks.py", "Python", 60, 0, 0, 31, 18, 109
"c:\Users\Asus\Documents\Digi_API\app\services\oauth.py", "Python", 27, 0, 0, 28, 10, 65
"c:\Users\Asus\Documents\Digi_API\app\services\token.py", "Python", 50, 0, 0, 34, 17, 101
"c:\Users\Asus\Documents\Digi_API\app\services\verification.py", "Python", 426, 0, 0, 125, 64, 615
"c:\Users\Asus\Documents\Digi_API\app\static\css\style.css", "PostCSS", 0, 0, 485, 16, 87, 588
"c:\Users\Asus\Documents\Digi_API\app\templates\architecture.html", "HTML", 0, 93, 0, 0, 9, 102
"c:\Users\Asus\Documents\Digi_API\app\templates\base.html", "HTML", 0, 34, 0, 4, 4, 42
"c:\Users\Asus\Documents\Digi_API\app\templates\dashboard.html", "HTML", 0, 79, 0, 3, 12, 94
