Date : 2026-06-09 16:08:07
Directory : c:\Users\Asus\Documents\Digi_API\app
Total : 68 files,  3795 codes, 1184 comments, 959 blanks, all 5938 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |         59 |      2,651 |      1,148 |        794 |      4,593 |
| HTML     |          8 |        659 |         20 |         78 |        757 |
| PostCSS  |          1 |        485 |         16 |         87 |        588 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |         68 |      3,795 |      1,184 |        959 |      5,938 |
| . (Files)                                                                   |          3 |        236 |         82 |         88 |        406 |
| api                                                                         |          7 |        376 |         78 |         99 |        553 |
| api (Files)                                                                 |          2 |         84 |         23 |         24 |        131 |
| api\v1                                                                      |          5 |        292 |         55 |         75 |        422 |
| errors                                                                      |          4 |        205 |         64 |         86 |        355 |
| infrastructure                                                              |          9 |        345 |        291 |        113 |        749 |
| infrastructure (Files)                                                      |          4 |        104 |        110 |         48 |        262 |
| infrastructure\digilocker                                                   |          5 |        241 |        181 |         65 |        487 |
| middleware                                                                  |          5 |         49 |         43 |         24 |        116 |
| models                                                                      |          5 |        213 |         18 |         57 |        288 |
| observability                                                               |          4 |        183 |         99 |         56 |        338 |
| repositories                                                                |          4 |        101 |         86 |         31 |        218 |
| schemas                                                                     |          6 |         52 |         23 |         45 |        120 |
| security                                                                    |          6 |         94 |        115 |         43 |        252 |
| services                                                                    |          5 |        563 |        219 |        110 |        892 |
| static                                                                      |          1 |        485 |         16 |         87 |        588 |
| static\css                                                                  |          1 |        485 |         16 |         87 |        588 |
| templates                                                                   |          8 |        659 |         20 |         78 |        757 |
| ui                                                                          |          1 |        234 |         30 |         42 |        306 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                    | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\Asus\Documents\Digi_API\app\__init__.py                            | Python   |          1 |          1 |          2 |          4 |
| c:\Users\Asus\Documents\Digi_API\app\api\__init__.py                        | Python   |          0 |          1 |          1 |          2 |
| c:\Users\Asus\Documents\Digi_API\app\api\deps.py                            | Python   |         84 |         22 |         23 |        129 |
| c:\Users\Asus\Documents\Digi_API\app\api\v1\__init__.py                     | Python   |          0 |          1 |          1 |          2 |
| c:\Users\Asus\Documents\Digi_API\app\api\v1\callback.py                     | Python   |        125 |          9 |         18 |        152 |
| c:\Users\Asus\Documents\Digi_API\app\api\v1\health.py                       | Python   |         66 |         26 |         33 |        125 |
| c:\Users\Asus\Documents\Digi_API\app\api\v1\router.py                       | Python   |         17 |         11 |          8 |         36 |
| c:\Users\Asus\Documents\Digi_API\app\api\v1\verification.py                 | Python   |         84 |          8 |         15 |        107 |
| c:\Users\Asus\Documents\Digi_API\app\config.py                              | Python   |        144 |         44 |         55 |        243 |
| c:\Users\Asus\Documents\Digi_API\app\errors\__init__.py                     | Python   |          0 |          4 |          1 |          5 |
| c:\Users\Asus\Documents\Digi_API\app\errors\codes.py                        | Python   |         41 |         14 |         12 |         67 |
| c:\Users\Asus\Documents\Digi_API\app\errors\exceptions.py                   | Python   |         83 |         25 |         50 |        158 |
| c:\Users\Asus\Documents\Digi_API\app\errors\handlers.py                     | Python   |         81 |         21 |         23 |        125 |
| c:\Users\Asus\Documents\Digi_API\app\infrastructure\__init__.py             | Python   |         12 |          4 |          5 |         21 |
| c:\Users\Asus\Documents\Digi_API\app\infrastructure\database.py             | Python   |         27 |         42 |         10 |         79 |
| c:\Users\Asus\Documents\Digi_API\app\infrastructure\digilocker\__init__.py  | Python   |         10 |          4 |          3 |         17 |
| c:\Users\Asus\Documents\Digi_API\app\infrastructure\digilocker\client.py    | Python   |         14 |         38 |         10 |         62 |
| c:\Users\Asus\Documents\Digi_API\app\infrastructure\digilocker\interface.py | Python   |         13 |         60 |          8 |         81 |
| c:\Users\Asus\Documents\Digi_API\app\infrastructure\digilocker\mock.py      | Python   |        150 |         38 |         30 |        218 |
| c:\Users\Asus\Documents\Digi_API\app\infrastructure\digilocker\stub.py      | Python   |         54 |         41 |         14 |        109 |
| c:\Users\Asus\Documents\Digi_API\app\infrastructure\http_client.py          | Python   |         29 |         27 |         15 |         71 |
| c:\Users\Asus\Documents\Digi_API\app\infrastructure\redis.py                | Python   |         36 |         37 |         18 |         91 |
| c:\Users\Asus\Documents\Digi_API\app\main.py                                | Python   |         91 |         37 |         31 |        159 |
| c:\Users\Asus\Documents\Digi_API\app\middleware\__init__.py                 | Python   |          0 |          1 |          1 |          2 |
| c:\Users\Asus\Documents\Digi_API\app\middleware\auth.py                     | Python   |          0 |          7 |          1 |          8 |
| c:\Users\Asus\Documents\Digi_API\app\middleware\logging.py                  | Python   |         31 |         12 |         12 |         55 |
| c:\Users\Asus\Documents\Digi_API\app\middleware\rate_limit.py               | Python   |          0 |          7 |          1 |          8 |
